##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	14			495	560	5			1	24	384	475	Manual	495	Emission Sweep	475	6	Automatic			7	10	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
495	23.9																														
																															
																															
																															
																															
																															
		3762.325	3645.802	3984.125	3568.789	3715.835	4084.257	3399.265	3864.641	3973.44	3937.926	4534.351	4735.79	3859.733	3934.12	4432.388	4107.862	3838.845	4075.35	4463.993	4149.304	3689.415	3697.363	4898.16	3830.991						
		4269.087	3606.374	3982.679	4308.446	4130.878	4139.772	4112.673	3737.782	3971.62	4501.834	4336.992	4196.852	3714.04	3951.315	4010.184	3967.722	4313.488	4345.025	4324.526	3688.554	4379.029	3917.37	4421.574	4389.215						
		5237.603	5309.735	4240.19	4211.842	3742.484	3418.573	3717.714	3867.861	3923.95	3609.098	4085.256	4236.648	4389.63	3602.628	4784.084	4869.225	3942.117	3868.69	3880.389	3665.477	3650.062	3939.499	4082.864	4064.416						
		3939.449	3291.98	3284.93	3932.408	3676.898	3595.296	3710.046	3494.082	3876.662	4380.25	3909.186	4251.416	4794.508	4872.729	4588.629	3646.57	4180.099	3783.242	3871.501	3783.47	3859.115	4235.632	4203.141	3749.498						
		3702.187	3532.528	3639.242	3530.972	3732.932	3363.639	4196.225	3741.691	5853.478	6169.754	5365.343	5602.429	3887.567	4385.688	4603.441	3814.292	5436.8	5487.521	3651.876	3925.015	4169.616	4012.225	3861.559	4126.753						
		3796.935	3868.914	3508.14	3362.442	3466.922	3356.747	6388.86	5527.329	4195.739	3569.986	3579.327	4115.791	4365.116	3388.74	4173.57	4034.707	4840.336	3863.702	4339.083	4246.773	3602.26	4669.089	3788.324	4189.729						
																															
525	23.9																														
																															
																															
																															
																															
																															
		3949.054	4007.109	4366.47	3882.058	4139.294	3378.808	3728.44	4070.729	4061.679	3924.335	3799.175	3471.897	4198.108	3987.814	3787.685	4109.475	4077.582	4187.051	3966.292	4124.146	3801.725	4410.245	4191.718	4197.427						
		3887.937	3965.631	3904.987	3874.906	4294.087	4044.619	3715.52	3920.806	4125.483	3493.59	3927.046	3950.195	3442.248	3911.013	3964.964	4245.417	4528.283	3968.083	3980.339	4434.344	4068.066	4305.39	4019.48	4051.786						
		3821.906	3566.619	3776.617	3860.404	3641.77	3674.103	3920.884	4063.311	4092.248	4230.127	3478.983	4710.851	4092.772	3901.916	3813.711	4218.61	3946.976	4995.591	4518.728	4102.682	3579.633	3773.149	4310.221	4162.946						
		3284.395	3421.694	3526.77	3683.4	4010.446	3650.157	3768.526	3840.679	4238.994	4153.335	3607.293	4088.928	4034.127	4238.772	3443.089	3798.653	3683.115	4592.844	3844.833	3360.163	3853.06	3773.688	4211.742	5072.706						
		3658.335	3743.883	3571.564	3686.717	3414.569	4034.893	3775.655	4371.417	4260.236	3479.388	4011.996	5363.152	3964.849	3794.513	4128.505	3914.863	4207.083	4362.382	3330.629	4116.456	3736.165	3715.737	4607.11	3777.779						
		3894.196	4079.647	3909.959	3824.015	3697.517	3842.696	3787.971	3619.635	4126.277	4455.627	4070.503	4271.168	3940.073	4078.609	4058.358	4259.189	4404.356	4185.811	3997.023	3910.856	3960.714	4201.042	3942.465	4361.734						
		3957.674	3908.073	3170.897	3735.795	3550.378	4251.079	3580.798	4245.48	3944.889	4114.765	3444.406	4235.344	3198.881	3927.013	6024.964	6684.467	4130.521	3807.461	3752.363	3809.654	6493.835	6161.703	4041.873	4306.544						
		4166.074	3566.336	3945.924	3691.448	3657.683	3348.323	3861.179	3797.822	3781.333	3591.581	3782.559	4141.201	3692.839	3904.728	3915.944	4073.326	4412.023	3779.905	6350.348	6623.278	4365.234	4144.374	3837.15	3913.567						
		4470.383	4621.773	3743.052	4160.829	4417.155	4707.215	3582.511	3856.798	4042.305	4450.688	4010.802	3909.758	5098.184	5277.542	3957.824	3994.513	5365.272	6326.123	3942.571	3948.547	4064.826	3961.333	6604.481	7002.718						
		3732.794	3822.47	3686.342	3453.949	3403.297	3545.828	4423.704	3430.662	6513.927	6238.9	5611.181	6369.527	3831.944	3857.079	3742.489	4104.272	3872.151	4353.601	3345.691	4079.439	3985.513	5126.797	4002.999	4177.596						
																															
530	23.8																														
																															
																															
																															
																															
																															
		3998.953	3549.798	3250.043	3788.278	3409.8	3695.524	3856.579	3926.717	4289.567	3332.391	4093.96	4190.121	3818.388	3579.876	3681.932	4126.537	3942.21	3690.78	3926.026	3546.343	3792.554	4223.567	4287.422	3696.933						
		3334.465	3471.526	3810.966	3336.716	3832.573	3536.314	3481.862	3360.94	3753.898	3651.249	4027.727	3794.628	3764.77	3808.924	4420.021	3892.181	4038.417	4116.329	4069.691	3617.768	3825.093	3729.838	4251.617	4213.542						
		3162.42	3611.265	3391.452	3411.102	3949.883	3930.297	3463.041	3681.235	3560.982	3685.883	3656.17	4167.203	4004.879	4099.875	4122.37	3888.59	4212.098	4970.631	4731.783	3984.536	3914.454	3636.893	4119.509	3617.732						
		3406.283	3796.503	3757.68	3775.589	3612.811	3944.323	3768.049	3665.056	3739.592	4290.132	4393.379	3814.118	3854.734	4012.114	3786.08	3957.712	3737.9	4008.52	3925.86	3710.495	3764.8	4089.027	3654.088	4717.538						
		3546.771	3381.268	3526.006	3556.899	3786.289	3529.969	3938.562	3879.024	3689.048	4176.809	4402.887	5045.772	4199.453	3943.718	4175.41	3861.634	3924.727	3806.898	3561.997	3841.533	3861.425	4069.784	4164.327	3791.843						
		3541.95	3219.181	3797.271	3775.625	3688.337	3549.624	3142.117	4199.63	4424.809	4715.713	4058.107	4141.283	3610.276	3902.49	4057.395	4222.92	3616.872	3910.466	3688.547	4023.509	3863.104	3828.227	3895.234	3556.446						
		3949.084	3318.517	3537.063	3205.613	3345.431	3925.121	3234.07	3428.409	4147.771	3582.245	3894.662	3724.566	3820.23	3897.951	4584.884	4966.414	3377.418	3684.551	4280.913	3938.053	6156.47	6281.949	5856.396	5633.623						
		4461.645	4257.548	3398.842	3357.377	3022.338	3390.051	3767.847	3971.664	3780.475	3959.729	3956.996	4029.412	6938.838	6668.658	3482.347	4233.165	4235.103	3683.388	3800.994	3895.52	3840.253	3792.142	3728.838	3720.295						
		3112.716	3299.318	4408.983	4245.067	3300.359	3985.646	6418.065	6317.573	3545.887	4428.056	4021.267	4057.35	4254.095	3813.929	4174.209	3847.272	6931.204	7678.902	3822.736	4099.291	4484.382	4269.238	4178.144	4685.338						
		3782.018	3465.807	3494.703	3455.149	3715.286	3319.544	4391.222	3591.172	3823.046	3597.889	5301.37	6333.693	3813.253	3582.163	4119.077	4100.397	4228.789	3567.877	4123.53	4712.409	4105.373	4515.655	3727.715	3972						
																															
535	23.8																														
																															
																															
																															
																															
																															
		3794.826	3855.035	3781.477	3805.826	3626.07	3450.182	3920.702	3973.097	3926.065	3929.303	3951.657	4074.747	4131.755	3712.001	3907.977	4169.166	4137.018	3908.43	4472.564	3928.306	3808.536	4279.492	4338.338	3957.264						
		3737.885	3780.594	3710.699	3251.151	3338.33	3546.413	3493.705	3676.66	3880.515	4233.119	3566.695	3800.5	3969.471	4183.943	3847.538	3730.15	3975.686	3619.804	3851.68	3399.643	3540.443	3814.37	3899.387	3720.905						
		3858.126	3804.918	3534.657	3739.125	3802.513	3502.721	3952.467	3683.87	3329.299	3399.911	3897.046	3865.317	3701.607	3704.844	3933.472	4149.546	3690.109	4781.377	4240.96	4248.403	3868.458	3821.994	4741.393	4054.807						
		3356.247	3371.297	4019.361	3857.869	4016.03	3786.051	3103.571	3452.584	3665.27	4015.506	3888.594	4025.201	3676.684	3512.889	3522.877	3969.049	3988.335	3885.061	3435.778	3728.35	3967.836	4019.915	3869.575	4873.903						
		3220.927	3414.275	3453.988	3256.011	3540.942	3342.359	3691.608	3539.314	3775.216	3864.603	4273.141	4874.019	4562.239	3365.476	4449.565	3394.776	3732.268	3855.149	3734.376	3550.595	4051.472	3929.27	4223.077	3657.065						
		3636.986	3583.538	3719.604	4254.658	3564.402	3494.57	3761.309	3607.353	3484.7	4729.104	3280.844	4395.062	3327.034	4087.331	3861.293	3899.698	4451.723	3916.474	4078.669	3906.127	3672.468	3968.939	3972.232	4050.91						
		3891.183	3415.904	3748.267	4202.7	3582.711	3628.828	4179.851	3708.198	3684.275	3632.611	3942.757	3680.693	3576.09	4649.173	3581.302	3987.288	3971.696	3414.73	3913.222	3983.335	3885.673	4080.24	4028.162	3754.863						
		3761.545	3612.899	3966.542	3324.018	4573.678	4891.102	3206.484	3995.087	4178.347	3955.21	3767.323	4202.56	3643.024	3762.219	6625.239	6277.972	4029.902	4530.227	3978.982	3715.847	3347.942	3763.443	6097.853	6027.986						
		5009.48	5138.572	3526.91	3227.113	3831.632	3589.644	3686.012	3444.738	3471.803	3872.068	4018.217	4060.405	3854.051	4247.879	3758.006	3732.748	4246.972	4747.558	5312.312	5181.281	3844.383	3902.926	3781.741	4033.103						
		3620.451	3889.144	3425.989	3467.545	3646.788	3512.411	4066.771	3581.82	3498.255	3954.727	3440.291	3325.51	3552.525	4315.521	3948.276	3689.962	3951.802	3701.638	3149.283	3648.029	3889.549	5154.05	3840.419	4099.711						
																															
540	23.8																														
																															
																															
																															
																															
																															
		3254.226	3451.758	3797.05	3531.394	3398.22	3598.497	3527.018	3497.625	3726.97	3685.881	3078.225	3535.5	3626.026	3350.047	3749.922	3742.402	3613.268	3994.727	4029.171	3405.208	3644.271	3637.884	4177.685	3914.948						
		3383.387	3392.339	3279.941	3674.643	3202.332	2872.781	3522.134	3397.848	3885.145	3873.968	3640.782	3146.089	3830.62	3723.267	3816.602	4406.834	3481.534	4007.769	3306.914	3846.923	3737.032	3874.479	3977.962	3999.484						
		2901.397	3731.311	3669.632	3847.695	3472.523	3550.869	3419.286	3357.688	3511.402	3512.102	3719.088	3816.773	4009.396	3745.64	3958.259	3554.143	3789.773	4805.399	3816.66	3983.913	3833.092	3509.542	3926.727	3756.271						
		3384.802	3579.867	3549.583	3380.549	3444.556	3856.946	3445.871	3911.912	3775.874	3742.047	3823.844	3928.315	3778.807	3757.328	3751.547	3997.947	3870.031	3311.521	3819.493	3528.176	3607.216	3049.29	3640.271	4819.146						
		3679.89	3363.284	3512.287	3219.601	3190.133	3512.68	3462.629	3673.077	3288.719	3856.957	4499.583	4060.361	4231.038	3606.432	4201.867	3525.711	3214.436	3807.725	4160.951	3476.526	3674.672	4198.081	4099.779	3605.524						
		3577.145	3177.749	3819.794	3689.055	4055.459	3771.525	3333.936	3935.51	3712.214	4034.712	4012.803	3586.015	3368.569	3135.576	3686.71	3795.461	3761.715	3364.604	3977.724	3981.341	3754.203	3681.788	3465.542	3306.106						
		3758.244	3501.385	3737.188	3819.464	3415.149	4196.886	3618.493	3391.656	6336.158	5328.167	3942.05	3318.105	5719.919	6080.041	3818.544	4216.026	3840.094	3479.984	3239.803	4005.473	3503.709	3903.24	3671.878	3847.59						
		3577.817	3345.86	3713.451	3320.243	3516.964	3402.193	3683.143	3848.949	3466.725	4317.966	6889.118	6332.888	3044.231	3796.632	4184.739	3348.709	3816.292	3571.719	3353.802	3628.89	3466.401	3590.622	5164.258	4482.799						
		3975.979	3510.826	3890.004	3594.214	3134.66	3745.186	4103.323	3644.705	3779.192	3522.482	3636.84	3689.77	3548.734	3764.415	4337.89	3676.988	4364.653	4531.133	3740.498	3703.368	3440.859	3641.307	3560.518	3601.352						
		3834.888	3820.22	3286.845	3443.544	4828.792	5538.115	3875.948	3865.354	3466.803	3560.952	3584.723	3789.723	3482.931	3426.717	3879.622	3738.926	3958.785	3571.711	3489.928	3576.832	3922.229	5211.541	4295.429	3722.753						
																															
545	23.8																														
																															
																															
																															
																															
																															
		3419.852	3766.422	3708.026	3182.609	3292.542	3263.518	3286.772	3778.253	3719.683	3707.929	3543.985	3288.479	3552.34	3817.219	3553.664	4071.562	3385.334	3911.663	3851.58	3728.557	3842.213	3973.707	4081.343	4032.11						
		2944.222	3208.529	3297.458	3539.986	3330.562	3862.429	3216.108	3358.31	3953.461	3369.891	3856.508	3546.729	3382.204	3723.279	3690.261	3496.048	3541.038	3710.334	3501.533	3646.564	3752.14	3752.007	3514.819	4022.808						
		3372.664	3102.375	3466.524	2923.123	3324.926	3057.74	3362.81	3417.067	3492.843	3798.214	3331.675	3832.038	3473.905	3283.128	3879.954	3726.729	3801.589	4791.247	4249.409	3823.986	3288.627	3652.886	3890.153	3591.325						
		3585.539	3285.111	3340.869	3460.032	2912.569	3082.428	3436.844	3945.79	3548.769	3396.661	3671.448	3822.56	3120.536	3222.246	3837.413	4263.218	3861.198	3356.734	3630.161	3705.546	3716.023	3501.237	3866.262	4692.611						
