##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			13	12	384	414	Manual	455	Emission Sweep	414	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														1471939.75	1459354.25	1384596.5	1325690.375	1257865.5	1040976.875	989788.875	874409.75	758464.5	612181.875	370736.937	282417.375						
																															
555	23.8																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														429461.563	431741.469	409913.969	388077.313	338622.094	322129.375	306633.25	263411.25	252679.422	170275.906	121045.937	53441.578						
														680018.25	674031.75	652055.5	634573.375	579878.188	553373.563	515994.812	489335.844	333752.625	262260.437	187802.094	97030.961						
														931251.25	940346.125	924459.562	923812.875	856936.937	774701	725035.75	690068.187	509473.375	376829.531	257302.828	175945.047						
														1149073	1166644.625	1156985.625	1114813.375	961304.562	920466.813	818812.125	746503.062	619713.5	481159.438	319784.125	213468.578						
														1295486.5	1285287.625	1223423.75	1178593.375	1097411.875	894543.438	871250.375	772582.938	659611.563	531231.25	324374.281	254639.891						
																															
560	23.8																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														361370.094	369099.594	351027.781	329795.25	290320.938	279549.844	263037.5	226905.906	215399.312	147221.234	102287.852	45987.02						
														581810.375	567804.375	562537	553169.313	492859.625	483212.844	433966	413053.219	278835.406	226649.172	160228.234	82003.141						
														799118.625	796345.812	803434.25	800698.625	735564.188	671703.25	621839.437	576431.563	436750.719	325464.125	214750.188	144947.672						
														998332.625	991113.563	993530.5	961068.063	824793.188	799466	700827.25	628981.375	532351.563	416424.156	272338.625	177960.687						
														1109712.125	1092181.375	1053406.375	1014745.875	936213.375	785311.562	751408.75	657917.75	560744.438	459099.062	270656.062	210670.219						
																															
Wavelength(nm)		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														 	 	 	 	 	 	 	 	 	 	 	 						
														 	 	 	 	 	 	 	 	 	 	 	 						
														 	 	 	 	 	 	 	 	 	 	 	 						
														 	 	 	 	 	 	 	 	 	 	 	 						
														 	 	 	 	 	 	 	 	 	 	 	 						
~End																															
Instrument type: Instrument serial number:																															
